Nombre Completo,Institución de Adscripción,Área del Conocimiento
DR. ZAMBRANO ZARAGOZA JOSE FRANCISCO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área II: BIOLOGÍA Y QUÍMICA
DR. GIRON PEREZ MANUEL IVAN,UNIVERSIDAD AUTONOMA DE NAYARIT,Área II: BIOLOGÍA Y QUÍMICA
DRA. MONDRAGON JAIMES VERONICA ALEJANDRA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área II: BIOLOGÍA Y QUÍMICA
DR. ALVAREZ GUERRERO CESAR,UNIVERSIDAD AUTONOMA DE NAYARIT,Área II: BIOLOGÍA Y QUÍMICA
DR. LUJA MOLINA VICTOR HUGO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área II: BIOLOGÍA Y QUÍMICA
DRA. VEGA FRUTIS MARIA DEL ROCIO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área II: BIOLOGÍA Y QUÍMICA
DRA. BERNAL HERNANDEZ YAEL YVETTE,UNIVERSIDAD AUTONOMA DE NAYARIT,Área II: BIOLOGÍA Y QUÍMICA
DR. GUTIERREZ LEYVA RANFERI,UNIVERSIDAD AUTONOMA DE NAYARIT,Área II: BIOLOGÍA Y QUÍMICA
DR. FLORES ORTEGA JUAN RAMON,UNIVERSIDAD AUTONOMA DE NAYARIT,Área II: BIOLOGÍA Y QUÍMICA
DRA. GONZALEZ ARIAS CYNDIA AZUCENA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área II: BIOLOGÍA Y QUÍMICA
DR. GARCIA PAREDES JUAN DIEGO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. VALDIVIA BERNAL ROBERTO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. PONCE PALAFOX JESUS TRINIDAD,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. BOJORQUEZ SERRANO JOSE IRAN,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. MARTINEZ GONZALEZ SERGIO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. LEMUS FLORES CLEMENTE,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. SUMAYA MARTINEZ MARIA TERESA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. MEDINA TORRES RAUL,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. BALOIS MORALES ROSENDO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. MARTINEZ CARDENAS LEONARDO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. LUNA ESQUIVEL GREGORIO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. CASTILLO VARGASMACHUCA SERGIO GUSTAVO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. PEÑA MESSINA EMILIO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. RUIZ VELAZCO ARCE JAVIER MARCIAL DE JESUS,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. ARRIETA RAMOS BEATRIZ GUILLERMINA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. RODRIGUEZ CARPENA JAVIER GERMAN,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. ROBLES BERMUDEZ AGUSTIN,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. ARVIZU GOMEZ JACKELINE LIZZETA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. CRUZ CRESPO ELIA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. CAMBERO CAMPOS OCTAVIO JHONATHAN,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. CAN CHULIM ALVARO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. LOYA OLGUIN JOSE LENIN,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. FLORES CANALES RICARDO JAVIER,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. ZAVALA LEAL OSCAR IRAM,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. VALDES GARCIA YISSEL SACNICTE,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. JIMENEZ RUIZ EDGAR IVAN,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. ALEJO SANTIAGO GELACIO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. BAUTISTA ROSALES PEDRO ULISES,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. PACHECO VEGA JUAN MANUEL,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. ESCALERA VALENTE FRANCISCO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. PERAZA GOMEZ VIRIDIANA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. ISIORDIA AQUINO NESTOR,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. LEYVA MORALES JOSE BELISARIO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. VALDEZ GONZALEZ FRANCISCO JAVIER,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. IBARRA ZATARAIN ZOHAR,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. CUEVAS RODRIGUEZ BREIDY LIZETH,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. LOPEZ GUZMAN GRACIELA GUADALUPE,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. RUELAS HERNANDEZ PABLO GERMAN,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DR. BAUTISTA COVARRUBIAS JUAN CARLOS,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VI: BIOTECNOLOGÍA Y CIENCIAS AGROPECUARIAS
DRA. PACHECO LADRON DE GUEVARA LOURDES CONSUELO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DR. ZEPEDA LOPEZ JOSE SALVADOR,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DR. MORAN NAVARRO SERGIO ARNOLDO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DRA. BARRON ARREOLA KARLA SUSANA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DR. MADERA PACHECO J. JESUS ANTONIO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DRA. ZAYAS BARRERAS ROSA ARMIDA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DR. ENRIQUEZ SOTO PEDRO ANTONIO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DRA. CERVANTES BRAVO IRINA GRACIELA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DR. MARQUEZ GONZALEZ ANTONIO ROMUALDO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DR. MADERO ESTRADA JOSE MIGUEL,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DRA. CAYEROS LOPEZ LAURA ISABEL,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DR. REA RODRIGUEZ CARLOS RAFAEL,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DRA. SALDAÑA DURAN CLAUDIA ESTELA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DR. MEDINA GARCIA ALDO RAFAEL,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DRA. MARCELEÑO FLORES SUSANA MARIA LORENA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DRA. BECERRA ROMERO AMERICA TONANTZIN,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DR. GOMEZ GUTIERREZ ABEL,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DR. PRIETO GODOY CARLOS ALBERTO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DRA. FERNANDEZ REYES PAMELA LILI,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DR. ANAYA RIOS JOSE LUIS,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DRA. COSSIO RIVERA MARIA DOLORES,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DR. FLORES BECERRA LUIS ALBERTO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DR. ANAYA RIOS MIGUEL ANGEL,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DR. LOMELI PAYAN HUMBERTO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DRA. RIVERA FLORES KARLA YANIN,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DRA. DE HARO MOTA REBECA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DRA. SIFUENTES OCEGUEDA EMMA LORENA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área V: CIENCIAS SOCIALES
DRA. RODRIGUEZ LAZCANO YAMILET,UNIVERSIDAD AUTONOMA DE NAYARIT,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR. NIETO NAVARRO JOSE TRINIDAD,UNIVERSIDAD AUTONOMA DE NAYARIT,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DRA. GRANADOS AMORES JASMIN,UNIVERSIDAD AUTONOMA DE NAYARIT,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR. RIVERA CAICEDO JUAN PABLO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DR. YARZA ACUÑA SERGIO ENRIQUE,UNIVERSIDAD AUTONOMA DE NAYARIT,Área I: FISICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA
DRA. CADENAS GOMEZ YOLANDA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR. SANTOS GARCIA SAUL,UNIVERSIDAD AUTONOMA DE NAYARIT,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR. FLORES RODRIGUEZ CARLOS ENRIQUE,UNIVERSIDAD AUTONOMA DE NAYARIT,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA. NAVARRO HERNANDEZ MARIA DEL REFUGIO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR. MARIN GARCIA JORGE LUIS,UNIVERSIDAD AUTONOMA DE NAYARIT,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR. RYZHKOV sin apellido Materno ANDRII,UNIVERSIDAD AUTONOMA DE NAYARIT,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA. LOPEZ ROCHA NAYELLI,UNIVERSIDAD AUTONOMA DE NAYARIT,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA. FIGUEROA VARELA MA DEL ROCIO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA. PEREZ SANCHEZ LUCIA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DRA. BENITEZ GUERRERO VERONICA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
DR. ULLOA sin apellido Materno JOSE ARMANDO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VII: INGENIERÍAS
DRA. MESSINA FERNANDEZ SARAH RUTH,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VII: INGENIERÍAS
DR. VELARDE ALVARADO PABLO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VII: INGENIERÍAS
DRA. BARRIOS SALGADO ENUE,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VII: INGENIERÍAS
DR. DELGADO DELGADO RAUL,UNIVERSIDAD AUTONOMA DE NAYARIT,Área VII: INGENIERÍAS
DRA. ROJAS GARCIA AURORA ELIZABETH,UNIVERSIDAD AUTONOMA DE NAYARIT,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. MEDINA DIAZ IRMA MARTHA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. TIZNADO OROZCO GABY ESTHELA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. BARRON VIVANCO BRISCIA SOCORRO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. FLORES GARCIA AURELIO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. NAVARRO PARTIDA JOSE,UNIVERSIDAD AUTONOMA DE NAYARIT,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. ZEPEDA CARRILLO ELOY ALFONSO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. FLORES OROZCO ELAN IGNACIO,UNIVERSIDAD AUTONOMA DE NAYARIT,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DR. AGRAZ CIBRIAN JUAN MANUEL,UNIVERSIDAD AUTONOMA DE NAYARIT,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. ORTEGA CERVANTES LAURA,UNIVERSIDAD AUTONOMA DE NAYARIT,Área III: MEDICINA Y CIENCIAS DE LA SALUD
DRA. WAKSMAN MINSKY NOEMI HERMINIA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. VERDE STAR MARIA JULIA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. RESENDEZ PEREZ DIANA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. GALAVIZ SILVA LUCIO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. DE LEON GONZALEZ JESUS ANGEL,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. QUINTANILLA LICEA RAMIRO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. QUIROZ MARTINEZ HUMBERTO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. HEREDIA ROJAS JOSE ANTONIO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. GOMEZ FLORES RICARDO ALBERTO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. RICQUE sin apellido Materno DENIS REGIS MICHEL,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. VIADER SALVADO JOSE MARIA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. TREJO AVILA LAURA MARIA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. VERA CABRERA LUCIO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. RODRIGUEZ ALMARAZ GABINO ADRIAN,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. KHARISSOV sin apellido Materno BORIS ILDUSOVICH,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. HERNANDEZ PIÑERO JORGE LUIS,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. GONZALEZ ROJAS JOSE IGNACIO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. TAMEZ GUERRA PATRICIA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. ZAPATA BENAVIDES PABLO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. CORTES GUTIERREZ ELVA IRENE,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. ALFARO BARBOSA JUAN MANUEL,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. ROSAS GARCIA VICTOR MANUEL,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. ESTRADA CASTILLON ANDRES EDUARDO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. MENDOZA GAMBOA EDGAR,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. SALAZAR ARANDA RICARDO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. RIVAS GALINDO VERONICA MAYELA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. ALCOCER GONZALEZ JUAN MANUEL,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. REBOLLAR TELLEZ EDUARDO ALFONSO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. ROCHA ESTRADA ALEJANDRA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. HERNANDEZ GARCIA TOMAS CONSTANTINO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. GARZA GONZALEZ ELVIRA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. GONZALEZ GONZALEZ GLORIA MARIA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. CAMACHO CORONA MARIA DEL RAYO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. CONTRERAS CORDERO JUAN FRANCISCO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. GOMEZ TREVIqO JESUS ALBERTO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. MOLINA GARZA ZINNIA JUDITH,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. FRANCO MOLINA MOISES ARMIDES,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. LOPEZ CORTINA SUSANA THELMA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. VILLARREAL TREVIÑO LICET,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. GUZMAN MAR JORGE LUIS,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. JIMENEZ PEREZ VICTOR MANUEL,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. RIOS MENDOZA EVELYN PATRICIA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. LIMON FLORES ALBERTO YAIRH,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. GARCIA ZEPEDA EDGAR ABRAHAM,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. FUENTES MERA LIZETH ALICIA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. CABRAL ROMERO CLAUDIO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. GARZA GONZALEZ MARIA TERESA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. CAVAZOS ROCHA NORMA CECILIA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. TOVAR HERNANDEZ MARIA ANA VICTORIA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. CAMACHO MORALES ALBERTO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. HERNANDEZ FERNANDEZ EUGENIO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. MOLINA TORRES CARMEN AMELIA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. NIETO LOPEZ MARTHA GUADALUPE,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. RODRIGUEZ DE LA FUENTE ABRAHAM OCTAVIO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. RUVALCABA ORTEGA IRENE,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. IBARRA RIVERA TANNYA ROCIO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. HINOJOSA REYES LAURA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. MUÑOZ FLORES BLANCA MARGARITA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. ANDRADE TORRES ANGEL,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. PEREZ MESEGUER JONATHAN,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. ZARATE KALFOPULOS XRISTO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. CANALES DEL CASTILLO RICARDO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. SAAVEDRA ALONSO SANTIAGO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. ELIZONDO MARTINEZ PERLA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. GUERRERO MUÑOZ MARCOS JAIR,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. ALANIS GARZA BLANCA ALICIA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. MARINO MARTINEZ IVAN ALBERTO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. VILLARREAL CAVAZOS DAVID ALONSO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. SILVA MARES DAVID ARTURO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. VILLARREAL CHIU JUAN FRANCISCO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. SANCHEZ CASAS ROSA MARIA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DR. BADILLO CASTAÑEDA CHRISTIAN TADEO,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
DRA. CASTILLO HERNANDEZ SANDRA LORUHAMA,UNIVERSIDAD AUTONOMA DE NUEVO LEON,Área II: BIOLOGÍA Y QUÍMICA
