artist.name,terms,release.name
Dropkick Murphys,celtic punk,The Gangs All Here
Josie,folk-pop,Unkunvenshunal Girl
Dendemann,progressive house,Abersowasvonlive
AndrA(c) Verchuren,chanson,Les Increvables N1
Amorphis,progressive metal,My Kantele
Dave Alvin,roots rock,Ashgrove
BeyoncA(c),hip hop,Single Ladies (Put A Ring On It) - Dance Remixes
Illya Kuryaki And The Valderramas,progressive house,Ninja Mental - Unplugged MTV
G Unit feat. 50 Cent,rap,Tha Gangsta Mix
Robben Ford,blues-rock,Talk To Your Daughter
Ultimate Fakebook,power pop,This Will Be Laughing Week
Information Society,freestyle,Information Society
Call To Preserve,straight edge,Unsinkable
Belle and Sebastian,indie pop,The BBC Sessions
GWAR,comedy rock,This Toilet Earth
LeA3n Gieco,folk rock,Un Leon Demente
Little Capes,dancehall,Reggae Deluxe
Johnny Pearson,orchestra,KPM 1000 Series: Flamboyant Themes (Volume 4)
Jean Segurel,chanson,POUR CHANTER L'AUVERGNE
Broadcast,dream pop,Who's got the ball
Pinchers,dancehall,Bandelero
Junior Reid,roots reggae,Double Top
Laurie Berkner,death core,Whaddaya Think of That?
Frank Stokes,country blues,The Best Of Frank Stokes
Warrior King,roots reggae,Hold The Faith
Simply Red,pop rock,Stay (Bonus Version)
Orquesta Sublime,salsa,A Bailar Boogaloo Con La Sublime (Digitally Remastered)
Xzibit featuring Jayo Felony and Method Man,gangster rap,40 Dayz & 40 Nightz (Explicit)
Hot Club Of Cowtown,western swing,Wishful Thinking
Aleks Syntek,merengue,MA!s Fuerte De Lo Que Pensaba
Les Malpolis,chanson,This Machine Kills Fingers (Live)
The Roots / Jaguar,funk,The Roots Come Alive
John Ottman,acid jazz,Fantastic Four
Fabri Fibra,hip hop,Chi Vuole Essere Fabri Fibra ?
DJ Nasty,bass music,Hot Sauce
Moss,future jazz,Moss
Christoper Titus,comedy,The 5th Annual End Of The World Tour
In Extremo,heavy metal,Frei zu sein
The Incurables,heartland rock,Fade
Frank Caliendo,future jazz,All Over The Place
The Steeles,southern gospel,Left Behind
In Extremo,heavy metal,Mein rasend Herz
Guitar Shorty,blues-rock,Shorty's Blues
Funeral For A Friend,post-hardcore,The Great Wide Open
Sugarbomb,post-grunge,Bully
Tom Petty,heartland rock,Wildflowers
Groove Karma,club,Come All Over Me
Joan Sutherland,bel canto,Joan Sutherland
Love Jones,bossa nova,Here's To The Losers
Jeff Beck,blues-rock,Original Album Classics
Skeeter Davis,country rock,Country Christmas
Crystals,all-female,Phil Spector's Wall Of Sound Retrospective Phillies Sound 1961-1996
Bebe Winans / Stephanie Mills,ccm,Love And Freedom
Three 6 Mafia,dirty south rap,Most Known Unknown (Screwed and Chopped)
Jaydee,vocal house,Optimo presents In Order To Edit
Flamin' Groovies,power pop,Teenage Head
Vickie Winans,ccm,Share the Laughter
Auf Der Maur,post-grunge,Auf Der Maur
Kim English,tribal house,My Destiny
Daniel Johnston,power pop,Frankenstein Love
Juan Carlos Baglietto,tango,Coleccion Aniversario
Martin Sexton,blue-eyed soul,Black Sheep
Thriller U,lovers rock,Love Rule
Shakira,dance pop,Donde Estan Los Ladrones
Jimmy Johnson,chicago blues,North // South
Behemoth,black metal,Satanica
Sick Puppies,post-grunge,Dressed Up As Life
The Real Kids,power pop,The Real Kids
Lee Ritenour,instrumental pop,Rit_ Vol. 1
The Jason Bonham Band,hard rock,MAD HATTER
Poncho Sanchez / Dianne Reeves,latin jazz,Morning Cup Of Jazz
Audio Pyper,dubstep,Soweto Jumpoff
Oliver Lake Quintet,free jazz,Talkin' Stick
David Arkenstone,celtic,Spirit Of The Rainforest
Mark Ashley,hard trance,Heartbreak Boulevard
Roger Reynolds,serialism,Process And Passion
Alkonost,folk metal,Put Neprojdennyj
A Ghost Devotion,melbourne,They'll All Believe_ There's Nothing Wrong With My Heart
Xose Manuel BudiA+-o,gaita,Zume De Tierra
RyanDan,neoclassical,RyanDan
Pelt,free improvisation,Untitled
The Last Eighth feat. Dumi Right(Zimbabwe Legit) and Skillz,hip hop,House of Stone
Vivian,happy hardcore,Vivianism
Annie Lennox,soft rock,Medusa
Blink-182,power pop,blink-182
"MichA""le Bernard",chanson,Mes premiers vinyls
We Show Up On Radar,singer-songwriter,A Loaf Of Bread_ A Container Of Milk And A Stick Of Butter
Michael Bloomfield,blues-rock,Live At The Old Waldorf
Cocoa Tea,roots reggae,One Way
The Rongetz Foundation,afrobeat,East
BeyoncA(c),hip hop,The Beyonce Experience Live Audio
Mase,pop rap,Harlem World *Cancelled*
Information Society,freestyle,Don't Be Afraid
The Paul Butterfield Blues Band,blues-rock,An Anthology: The Elektra Years
Catherine Howe,chill-out,English Tale
Der Plan,experimental rock,Perlen...
Patric C,breakcore,The Horrible Plans Of Flex Busterman
Little Freddie King,new orleans blues,Messin' Around tha House
Radiohead,british pop,Pyramid Song
Dimmu Borgir,black metal,In Sorte Diaboli
Jimmy Riley,roots reggae,Magic
Percy Faith & His Orchestra,orchestra,16 Most Requested Songs Of The 1950s. Volume Two
David Arkenstone,celtic,Chillout Lounge
Jellyfish,jangle pop,Best!
Fuzz,video game music,Uno
Rui Da Silva,progressive house,Amidar
Shakira,dance pop,The Remixes
Faking David,breakbeat,Freedom Of Expression
MarAa Elena Walsh,lullaby,Canciones Para Grandes
BassTurk,hard trance,Bassturk
Connie Francis,brill building pop,Who's Sorry Now?...The Early Years 1955-58
Twista Featuring Cee-Lo,gangster rap,Kamikaze
Johnny Cash,honky tonk,Wanted Man: The Johnny Cash Collection
Curtis Mayfield,chicago soul,Future Shock
K-OS,trip hop,Yes! 2-Disc Set
The Mighty Clouds Of Joy,southern gospel,Gospel
Geier Sturzflug,pop rock,Deutsche Hits CD1
Alturas,world beat,Entre tanto canto...
Spectra Soul,dubtronica,Shogun Assassins EP Vol. 3
F.I.R.,chinese music,Unlimited
Black Debbath,blues,Black Debbath Hyller Kvinnen!
Dolly Parton,bluegrass,Just Because I'm A Woman
Stevie Ray Vaughan And Double Trouble,texas blues,In Step
The Glencastle Sound,folk rock,Our Scottish Heritage
Bruce Carroll,ccm,Boomerang
Glen Ricks,lovers rock,Glen Ricks' Rock My Boat
Muse,art rock,Dead Star / In Your World
CoCo Lee,dance pop,COCO 1994-2008 Best Collection
YZ,hip hop,The Legend Of Floyd Jones
Brainchoke,grindcore,Introspective
Slim Whitman,folk-pop,UK - 1955 - September
Badmarsh & Shri,breakbeat,Dancing Drums
Groucho Marx,doo-wop,Best Of The Radio Shows
Jeff Scott Soto,symphonic rock,One Night In Madrid
Super700,pop rock,Lovebites
KA(c)kA(c)lA(c),soukous,Kinavana
Gerard Lenorman,chanson,La Ballade Des Gens Heureux
Tabu Ley Rochereau,soukous,Rochereau_ Sam Mangwana & l'African Fiesta National
AZ,gangster rap,Aziatic
The Clash,new wave,London Calling / Combat Rock
Wendy Moten,ballad,Wendy Moten
Black History,dancehall,Reggae Salute
Melatonin,breakcore,La fin de l'A(c)ternitA(c)
Steve Green,ccm,He Holds the Keys
Pink Floyd,art rock,Ummagumma
Judas Iscariot,black metal,The Cold Earth Slept Below
Enrique Iglesias,dance pop,Cosas Del Amor
Eddy Arnold,honky tonk,Country Lovers_ Vol. 2
AndrA(c) Verchuren,chanson,Les Increvable N2
Johnny Osbourne,roots reggae,Black & White Vol. 2: Reggae Classics
Andreas Dorau,tech house,40 Frauen / Im September
The Roots,funk,The Roots
The Merry Macs,big band,Classic Years of The Merry Macs
Ashtrax,progressive house,Xtreme Control EP
D.O.W.N.,southern rock,Southern Slang
Tito Rodriguez,mambo,A Man And His Music  - El Inolvidable
SNAP!,pop rap,Attack - The Remixes Part 1
California Oranges,twee pop,Imperial Hearts
Anna Vissi,british pop,Music Guide - Athens
The Berzerker,speedcore,Dissimulate
Ada Jane,orchestra,Never Been Better
Flora Purim,latin jazz,Encounter
Virgil Moorefield,experimental rock,Unsettled Scores
Ice_ Lucky Luciano_ Filero,dub,Frozen Dreams
GG Allin,shock rock,Carnival Of Excess : Limited Edition - Original Mixes
Dallas Holm,ccm,Early Works
Styles P,rap,The Art of War Volume 4
The Game feat. Jim Jones Camron & Bezell,gangster rap,Westside Story Remix feat. Snoop Dogg & 50 Cent
Simple Minds,new wave,Themes - Volume 3
Petra,ccm,Petraphonics
Alexander O'Neal,dance pop,Alex Loves...
Bionikworld,melbourne,Preset 001 / Reset 001
Jean Segurel,chanson,Les Fiances D'Auvergne
Photek,jungle music,Modus Operandi
Ashes to Ashes,avantgarde metal,Big Moving Parts
Band Of Horses,folk-pop,Friend EP
Bill Murk,hard house,Praise Keeper
Don & Juan,doo-wop,Twirl Records Story Volume 10
Simple Minds,new wave,Silver Box
Edmundo Ros,samba,The Latin Sounds of Edmundo Ros
Noemi,musica,Sulla Mia Pelle Special Edition
Frederik,tech house,20 Suosikkia  / Se jokin sinulla on
Cocoa Tea,dancehall,Kingston Hot
James Taylor,folk-pop,New Moon Shine
Selena,tejano,All My Hits - Todos Mis Exitos
Dave Eggar,new age,Serenity
This Is Hell,post-hardcore,Misfortunes
Donna The Buffalo,zydeco,The Ones You Love
Soulwax,dance rock,Leave The Story Untold
Mae West,modern rock,I'm No Angel
Mayday,folk-pop,Mayday
Aerosmith,blues-rock,A Little South Of Sanity
Sister Hazel,post-grunge,Before The Amplifiers...Live Acoustic
David Andreu,rumba,Las Cosas de Antes
SNAP!,pop rap,Attack - The Remixes Part 1
Irwin Goodman,german pop,Cha cha cha
Rise Against,hardcore punk,The Unraveling
Rishi Rich,bhangra,The Project
Lizzy Borden,heavy metal,Deal With The Devil
Eliane Elias,brazilian jazz,Solos And Duets
Clay Crosse,ccm,I Surrender All
Mikey General,dancehall,Stronger Rastaman
Snowgoons,los angeles,Black Snow
Gorillaz,hip hop,Demon Days
Hef feat. Big2 & Dio,screamo,Hefvermogen
All Girl Summer Fun Band,pop rock,Looking Into It
Sergio Franchi,ballad,I Giovani Assi Della Fisarmonica
2 Minutos,skate punk,Novedades
Carolyn Arends,ccm,Feel Free
The Strokes,indie rock,Room On Fire
EPMD / Nocturnal,hip hop,Back In Business
Steve Smith,jazz funk,Chantal's Way
Sugar Minott,roots reggae,Ghetto-ology + Dub
Jacques Dutronc,chanson,IntA(c)grale Les Cactus
Juan Carlos Baglietto,tango,Modelo Para Armar
Natassa Theodoridou,pop folk,Dipla Se Sena
The Sonics,rock 'n roll,Fire and Ice II - The 'Lost' Tapes
Lisa Lisa & Cult Jam,freestyle,Super Hits
Nick Ingman,jazz funk,Two Brothers
Britney Spears,dance pop,My Prerogative
Tony Joe White,country rock,"The Best Of Tony Joe White Featuring ""Polk Salad Annie"
DJ Phiene,ghetto tech,Da Grand Architek
Gary Moore,blues-rock,Essential Montreux
D:Fuse vs The Scumfrog,progressive house,Stereo + Video
Pat Travers,blues-rock,Black Betty - The Anthology
Halfway to Gone,southern rock,Halfway to Gone
Kuba,easy listening,Unter Wert
Shawn Colvin,country rock,Steady On
John Sebastian,folk rock,Cheapo-Cheapo Productions Presents Real Live John Sebastian
Loketo,soukous,Soukous Trouble
John Frizzell,soundtrack,Whiteout : Music from The Original Motion Picture
Cockney Rejects,oi,Oi! The Album
Esa Pakarinen,oldies,Esa Pakarinen
New Roanoke Jug Band,jug band,A Pretty Gal's Love
Nickelback featuring Kid Rock,alternative metal,Charlie's Angels: Full Throttle (Music From The Motion Picture)
SKYCLAD,folk rock,Another Fine Mess
Loudermilk,post-grunge,The Red Record
Billie Jo Spears,classic country,Blanket On The Ground
Jazz Crusaders,jazz funk,Louisiana Hot Sauce
Esion Jim,downtempo,Backroom Beats 2
Joe Grushecky,heartland rock,Down the Road Apiece - Live
Mariano Yanani,lullaby,Babies Go To Sleep
Les Ogres De Barback,chanson,Concert
UFO,heavy metal,The Essential UFO
Gene Simmons,hard rock,Haunted House:The Complete Gene Simmons on Hi Records
Crematorium,death core,For All Our Sins
Los Fabulosos,ska,Los 3 Paraguayos
Geoff Muldaur,samba,Is Having A Wonderful Time
Drag-On / DMX,rap,Opposite Of H20
Memphis Sheiks,country blues,Diamond In The Bluff
Don Gibson,country rock,Sweet Dreams
John Mayall & The Bluesbreakers,blues-rock,Wake Up Call
Take It Back!,melodic hardcore,Can't Fight Robots
Tony Murena,chanson,Passion
Fever Ray,electronic,When I Grow Up
Philip Bailey,jazz funk,The Colours Of Christmas
Neviss,british pop,Backseat Travelling
Chris Brown,r&b,Graffiti
Sneaky Sound System,alternative dance,Sneaky Sound System
Little Eva,pop rock,Girls of the 60's
Thrilla U,lovers rock,Sings R&B & Pop Hits
Daft Punk,techno,Homework
Joi,breakbeat,Star Kitty's Revenge
Joy Division,alternative,Unknown Pleasures [Collector's Edition]
Janis Joplin,blues-rock,Janis
Claire Hamill,new age,Voices
The Tokens,doo-wop,The Lion Sleeps Tonight
Bob Neuwirth,singer-songwriter,Back To The Front
Shriekback,alternative dance,Cormorant
The Marx Brothers,vaudeville,Horse Feathers / Animal Crackers
Marcelo Radulovich,experimental pop,To Lilliput & Back Vol. 1-
Nikos Xilouris,greek,Kiklos Seferi
Kapelle Herrenweide,humppa,Kavalierstart
Steel Pulse,roots reggae,Rage and Fury
The Box Tops,blue-eyed soul,The Letter/Neon Rainbow
Gal Costa,brazilian pop music,Minha Voz_ Minha Vida
Percy Faith,instrumental pop,Porgy & Bess
Daddy Yankee,reggaeton,Daddy Yankee Mundial
The Shirrows,freakbeat,Shakin' All Over Again
Busta Rhymes,hip hop,Genesis
John Cephas & Phil Wiggins,piedmont blues,Gary Davis Style: The Legacy of Reverand Gary Davis
Mazz,tejano,Tejano All Stars: Masterpieces Vol 1
Mississippi Fred McDowell,delta blues,Good Morning Little School Girl
Loudon Wainwright III,modern rock,I'm Alright
Cancer Bats,southern rock,Kerrang! The Album '09
Russ Taff,ccm,Rivers Of Joy
Electric Light Orchestra,art rock,Flashback
To My Surprise,experimental rock,To My Surprise
The Del McCoury Band,bluegrass,It's Just The Night
Sly Dunbar,lovers rock,Cassava Piece Riddim
Cockney Rejects,oi,Live And Loud
Orquesta Broadway,charanga,Paraiso
Sophie Tucker,vaudeville,The Golden Jubilee Album
Perrocker,alternative,Estrella de Ros
Terry Muska,classical,The Tarrega Legacy (Music of the Father of the Classical Guitar)
Why?,hip hop,Sanddollars EP
Florida Boys,southern gospel,World's Most Beloved Hymns - Vol 2
HardNox,alternative hip hop,Going Out Tonight (feat. Jaime) - Single
The Stooges,experimental rock,1970: The Complete Fun House Sessions
Quadro Nuevo,tango,Luna Rossa
Kanye West / Lupe Fiasco,hip hop,Touch The Sky
Headhunter,dubstep,Rebirth
Sister Rosetta Tharpe,religious music,Never Alone
Billy Price_ Fred Chapellier,blues-rock,Night work
DMZ,dubstep,Live At The Rat
Philip Glass,chamber music,Philip Glass: Saxophone
Agnostic Front,hardcore punk,Warriors
Bob Dylan,blues-rock,Time Out Of Mind
Frank Chacksfield & His Orchestra,space age pop,Velvet And Lovely Lady
Frl.Menke,german pop,Ich will's gefA$?hrlich
The Rance Allen Group,jazz funk,All the Way
Ramy Ayach,pop folk,Albi Mal
Snow Patrol,indie rock,Snow Patrol: Sessions@AOL
Theodor Zox,tech house,Run Away
Flowin Immo et Les Freaqz,hip hop,Immoment
Everly Brothers,rock 'n roll,The Very Best Of
Rise Against,hardcore punk,The Sufferer & The Witness
Refractory,vocal jazz,Refractory
Luis Alberto Spinetta,rock 'n roll,Silver Sorgo
Koffi Olomide,zouk,Tcha Tcho
Eason Chan,cantonese pop,Get A Life
Various Production,grime,Maskmen
Sex Pistols,punk,Submission
Open Hand,post-grunge,The Dream
Lesley Gore,brill building pop,'60s Pop Number 1's
Gene Pitney,brill building pop,The Country Side of Gene Pitney
Inspiral Carpets,indie rock,Greatest Hits
Ennio Morricone,easy listening,Le Ruffian (Bande originale du film de JosA(c) Giovanni (1982))
Johnny Daye,blue-eyed soul,Stax-Volt: The Complete Singles 1959-1968
Stephen Warbeck,soundtrack,Dreamkeeper
An Cafe,dance rock,Magnya Carta
The Wreckers,country music,Way Back Home: Live From New York City
Charlie McCoy,country gospel,HarpinA' The Blues
Gal Costa,brazilian pop music,Aquarela Do Brasil
Enuff Z Nuff,power pop,Tweaked
Gershon Kingsley,space age pop,Music To Moog By Gershon Kingsley
Winifred Phillips,game,Spore Hero
Harry Lauder,vaudeville,Stop Your Tickling Jock
Kenny Rogers,country rock,Country Superstar
Zombina & The Skeletones,psychobilly,Death Valley High
MxPx,christian rock,Panic
Bad Company,blues-rock,In Concert: Merchants Of Cool
Cannon's Jug Stompers,jug band,The Best Of Cannon's Jug Stompers
Tyrone Davis,chicago soul,Call Tyrone
Zumpano,power pop,Look What The Rookie Did
30 Seconds To Mars,rock,30 Seconds To Mars
Birmingham Jubilee Singers,gospel,Birmingham Jubilee Singers Vol. 1 (1926-1927)
Ill Harmonics,hip hop,Take Two
Thrice,post-hardcore,Live At The House Of Blues
Davol,new age,Nature Of The Beast
Who Made Who,disco,Gomma Dance Tracks Vol. 2
Shelby Flint,glam rock,Cast Your Fate To The Wind
Aimable,chanson,Music of the little Four
K.I.Z.,hip hop,Das Rap Deutschland KettensA$?gen Massaker
Orquesta Sublime,salsa,20 Superhits Charangueros
Pelle Carlberg,twee pop,In A Nutshell
Out Of The Grey,ccm,Gravity
Snow Patrol,indie rock,Snow Patrol Late Night Tales
Dart,post-grunge,Don't Let The Bastards Get You Down
Milieu,downtempo,Remodelled
DJ Nasty,bass music,Cherry Popper
GA1/4nter Noris,beat,Millennium-Tanzparty
Jeff And Sheri Easter,southern gospel,My_ Oh My!
Plies,gangster rap,The Real Testament
React,happy hardcore,Deus Ex Machina
ZENFU,glam,tiefblau
Los Amigos Invisibles,funk rock,The New Sound of the Venezuelan Gozadera
Korpiklaani,folk rock,Karkelo
Brian Dullaghan,irish folk,Songs For A Wedding - 18 Songs For That Special Day
Salt The Wound,death core,Ares
Winston Reedy,lovers rock,Love Thing
Eminem,hip hop,Curtain Call
Fergie,pop rap,The Dutchess
Johnny Cash,honky tonk,Mi Collection - Volume 2
Flink,alternative rock,Moog
Seal,dance pop,Killer
Daniel Paul,kirtan,Coming Back For More
Maximilian Hecker,chamber pop,Lady Sleep
Albert Collins,texas blues,Collins Mix
Daddy Yankee,reggaeton,El Cartel: The Big Boss
Hacken Lee,cantonese pop,De Xin Ying Shou Yan Chang Hui 2006
Jimmy Riley,roots reggae,Love Canticle
The Cortinas,new wave,Please Don't Hit Me
Masta Ace Incorporated,bass music,Sittin' On Chrome
Hot Tuna,blues-rock,LIVE AT SWEETWATER II
Abijah,roots reggae,Abijah
The Misfits,horror punk,American Psycho
Dickies,peace punk,Locked 'n' Loaded
Pee Wee Crayton,texas blues,Blues Guitar Magic
Tito Allen,salsa,Clase y Sabor
Audio Adrenaline,ccm,Some Kind Of Zombie
Jessie Lee Miller,rockabilly,Now You're Gonna Be Loved
David & Steve Gordon,meditation,Christmas in the Southwest
Billy May & His Orchestra,space age pop,The Original Ballroom Dancing Album
Kiss,hard rock,Asylum
Cool cavemen,funk rock,Multipolar
Philippe Sarde,smooth jazz,"Princesses / Un FrA""re"
Back Door Slam,blues-rock,Roll Away
UFO,heavy metal,Strangers In The Night (Remaster)
Sister Rosetta Tharpe & Marie,religious music,Backline Volume 47
Phil Collins,soft rock,Face Value
Alain-FranASSois,french pop,Vivant
Oasis,british pop,Supersonic
John Cale,experimental rock,Paris s'A(c)veille
Stevie Ray Vaughan And Double Trouble,texas blues,3 CD Slipcase
David Arkenstone,celtic,Chillout Lounge
Jeff Massanari Trio,guitarist,For The Music
Camp Lo,pop rap,The Best of Camp Lo Vol. 2
David Johansen,pop rock,In Style (With Bonus Tracks)
Bill Engvall,comedy,Dorkfish
The Almost,post-hardcore,Monster Monster
FranASSoise Hardy - Maurane,chanson,"ParenthA""ses"
Kitty Kallen,cool jazz,Our Lady... Kitty Kallen
Peggy Zina,modern laika,Trexe
Tshala Muana,world beat,Mutuashi
The Sensational Alex Harvey Band,glam rock,Live / The Penthouse Tapes
Chucho ValdA(c)s,bossa nova,Cancionero Cubano
New Order,alternative dance,Technique [Collector's Edition]
Belami,neue deutsche welle,HiA!ba Kerestelek
Extreme,funk metal,Extreme II - Pornograffitti
Bobby Pulido,tejano,En Vivo...Desde Monterrey_ MA(c)xico
Kari Tapio,german pop,Kaksi maailmaa
Bruce Rowland,easy listening,Andre
Redman,hip hop,Doc's Da Name 2000
Panic At The Disco,pop punk,Live In Chicago
Pumpkin Buzzard,happy hardcore,Perfect Dragon
Christos Dantis,pop rock,Ta Yousoufakia
Janina,easy listening,Yeah Yeah
Mat Maneri,free jazz,Trinity
William Goldstein,disco,First Impressions
The Marx Brothers,vaudeville,Horse Feathers / Animal Crackers
Descendents,hardcore punk,Somery
Fast Eddie featuring Kool Rock,hip house,Turn Up the Bass
Barbarito Diez,charanga,Asi Bailaba Cuba Vol. Iv
CoCo Lee,dance pop,Everyone Love The Live Concert Of Ms. Charming CoCo
Daniela DessA!,opera,Ethnic Lounge 2
Doniki,roots reggae,Drop It Acoustic Riddim
Hushabye Baby,country,Hushabye Baby : Lullaby Renditions of Country Music Favorites Volume 2
Tim Exile,breakcore,Tim Exile's Nuisance Gabbaret Lounge
Life Long Tragedy,melodic hardcore,Runaways
The Jam,british pop,The Jam Story
Murskahumppa,suomi rock,Murskapunkkia
Leon Russell,blues-rock,Carney
Ill Nino,alternative metal,Revolution Revolucion
Jimmy Wayne,country,Jimmy Wayne
Ann Lee,europop,So Deep
Burt Bacharach,brill building pop,Isn't She Great
Willie Clayton,chicago soul,Willie Clayton's Greatest Hits - Midnight Doctor
The Impressions,chicago soul,The Impressions
Tanto Metro & Devonte,dancehall,Riddim Driven: Celebration
Dave Hollister,motown,Witness Protection
Casa Bulga,tribal house,Afraid Of Change
Nestor Torres,latin jazz,Mi Alma Latina (My Latin Soul)
Debbie Davies,blues-rock,Love The Game
Naseebo Lal,italian disco,Ronde Ne Nain
Bob Marley & The Wailers,reggae,Mystic Mixes - An Exclusive Remix Collection
Alvin Youngblood Hart,blues-rock,Screamin' and Hollerin' The Blues
Domna Kountouri,greek,Paihnidi Isorropias
Sonora Carruseles,salsa,Greatest Salsa Classic Volumen 3
The Starting Line,pop punk,Say It Like You Mean It
L.A.V.I,progressive trance,Mui Mal_ Animal
Gonzalo Rubalcaba,latin jazz,The Trio
Dezz White,stand-up comedy,My Wife And Her Husband
Carl Belew,rockabilly,Country Heartbreakers
TEN MADISON,downtempo,Grounded
Shakira,dance pop,Donde Estan Los Ladrones
David Taylor,modern rock,Bass Hits
Anne Dudley,trip hop,Black Book
Roger Williams,instrumental pop,Songs Of The Fabulous Century
Grizzly Bear,folk-pop,Yellow House
George Jones,honky tonk,Wine Colored Roses
This Moment In Black History,math rock,The Paul - EP
Joselito,chanson,La Voz De Oro
UK Subs,oi,Countdown
Seatrain,jazz funk,Watch
SOJA,roots reggae,Stars and Stripes
Julie Roberts,alternative country,Julie Roberts
Nirvana,grunge,In Bloom
Imiskoubria,reggae,Ginekologies
Natalie Cole,vocal jazz,Dangerous
Teena Marie,disco,Robbery
Wilks,hip hop,U gotta believe
Chaka Demus & Pliers,dancehall,Murder She Wrote Single
Deodato,jazz funk,Night Cruiser
Christian Quast,tech house,Spank! It up
Pearl Jam,grunge,Seattle Washington November 5 2000
Los AutA(c)nticos Decadentes,cumbia,Vinyl Replica: Supersonico
Little Feat,blues-rock,Waiting For Columbus [Live Deluxe]
Dead Kennedys,rock,Milking The Sacred Cow
Brand X,jazz fusion,X Communication : Trilogy II
Julie Zenatti,chanson,Comme Vous
Mistress,hip hop,In Disgust We Trust
Inoki,pop rap,NobiltA  di strada
Orlando Pops Orchestra,orchestra,Easy Listening: Cartoon Songs
Atreyu,post-hardcore,The Curse
The Baltimore Consort,early music,Watkins Ale -  Music of the English Renaissance
Brigada Victor Jara,free improvisation,Novas Vos Trago
I Hate Sally,post-hardcore,Don't Worry Lady
Amorphis,progressive metal,Karelian Isthmus
RaphaA<<l,chanson,Je Sais Que La Terre Est Plate (Deluxe)
MAY=negarm,viking metal,Vargstenen
Liquid Gang,nu metal,Sunshine
Ernest Ranglin / Floyd Lloyd,jazz funk,Ska Wey Dat
Crematorium,death core,For All Our Sins
Britney Spears,dance pop,3
Danny Elfman,soundtrack,Men In Black II - Music From The Motion Picture
Franco,soukous,Retro Years
Ziggy Marley And The Melody Makers,reggae,Jahmekya
Junior Kimbrough,delta blues,Meet Me in the City
Tim Wilson,filk,Gettin' My Mind Right
BoDeans,roots rock,Love & Hope & Sex & Dreams [Deluxe Edition]
Otis Spann,piano blues,The Biggest Thing Since Colossus
Capleton,dancehall,Kings of Zion
Radiohead,british pop,In Rainbows
Van Halen,heavy metal,Van Halen III
Danny Wilson,british pop,The Best Of Danny Wilson
Kisha,soft rock,StoffwA$?chsu
DJ Vix,bhangra,The Official Moviebox Vix Tape Vol.1
Bon Jovi,rock,Who Says You Can't Go Home
Al Dexter,honky tonk,Country Lovers_ Vol. 2
Kashief Lindo,lovers rock,Love Knows The Way
Bongzilla,stoner metal,Amerijuanican
John Tchicai,free jazz,Anybody Home?
John Holt,lovers rock,His Story
The Chap,future jazz,Lo Compilation Mix By Susumu Yokota
Dave Brockie Experience,shock rock,Diarrhea Of A Madman
R. Carlos Nakai,chamber jazz,Changes
Spoonie Gee,hip hop,The Sugar Hill Records Story
Shadows Fall,power metal,The War Within
Vanessa Daou,chill-out,Joe Sent Me
Linkin Park,rap metal,Hybrid Theory
Koffi OlomidA(c),zouk,Les incontournables du Congo
Harry Lauder,vaudeville,Oh! It's A Lovely War (Vol 4.1)
Aceyalone,hip hop,Lightning Strikes
Thrice,post-hardcore,Live At The House Of Blues
Herbert von Karajan and Turin RAI Symphony Orchestra,opera,Karajan and Bernstein: Beethoven Masterpieces
Joi,breakbeat,We Are Three
Lonnie Johnson,jazz blues,Lonnie Johnson Vol. 1 1937 - 1940
The Dils,country rock,Class War
Flora Purim,latin jazz,Encounter
The Knightsbridge Strings,german pop,The Strings Sing & The Strings Swing
Kenny Neal,swamp blues,Blues Fallin' Down Like Rain
Alvin Youngblood Hart,blues-rock,Big Mama'S Door
Los Solitarios,screamo,12 Grandes exitos Vol. 1
Tech N9ne,gangster rap,Alpha Dog
The Rodeo,tejano,Hotel Utah
Mustafa Sandal / GA1/4lcan,eurodance,Seven
Kristine W.,progressive house,Save My Soul
Cracker,roots rock,Gentleman's Blues
Al Di Meola,latin jazz,Scenario
SNAP!,pop rap,Attack - The Remixes Part 2
Juelz Santana / Freekey Zeekey / Monique Garnett,rap,From Me To U
Chris Clark,motown,Empty The Bones Of You
Los Chunguitos,flamenco,ColecciA3n Diamante: Los Chunguitos
Mance Lipscomb,texas blues,The Best of Mance Lipscomb
LeA3n Gieco,folk rock,Argentina Quiere Cantar
Java,musette,Java Sur Seine
Harald Kloser / Thomas Wander / Thomas Schobel,big beat,10_000 BC
The Elders,celtic rock,The Best Crowd We Ever Had
Singing Melody,dancehall,Expression
Bela Fleck And The Flecktones,bluegrass,Flight Of The Cosmic Hippo
Los Chichos,flamenco,Todo Chichos
ARRESTED DEVELOPMENT,hip hop,Since the Last Time
Jane's Addiction,alternative metal,Ritual De Lo Habitual
Atienne Daho,chanson,Live Ed
Markscheider Kunst,ska punk,Utopia
In Extremo,heavy metal,SA$?ngerkrieg
Bitty McLean,lovers rock,Natural High
Tom Cochrane,heartland rock,Images Of Christmas
DJ Omega,detroit techno,My Ghetto Passport
Steel Pulse,roots reggae,Rage and Fury
Edouard Duleu,musette,Musette
The Moody Blues,british invasion,Caught Live + 5
Jope Ruonansuu,parody,Kunnioittaen-Yhden miehen tribuutti
Virgil Moorefield,experimental rock,Distractions On The Way To The King's Party
Trafik,progressive house,Bullet
Nicole C. Mullen,ccm,6 PICKS: Essential Radio Hits EP
